explanation_id,explanatoriness,surprisingness,usefulness,interestingness,cleverness,willingness_to_share,satisfaction,insight,prior_knowledge,belief_average,participant_id,appeal,submissionScore,commentScore,similarity,commentLength,average_knowledge
77,4,1,4,5,1,3,4,1,FALSE,80,5d23460ad4c57900192b129c,3,1400,1510,0.5488359,265,0.5
77,4,1,2,1,1,1,2,1,FALSE,24,5615777c7ffc8a000a811c61,1,1400,1510,0.5488359,265,0.5
77,6,5,7,5,5,6,5,6,FALSE,27,5db4f0b63e33f2000dd54016,5.333333333333333,1400,1510,0.5488359,265,0.5
77,6,1,5,3,5,1,4,2,TRUE,71,60171c9b1a726593103182b3,3,1400,1510,0.5488359,265,0.5
77,7,3,7,6,7,1,6,3,TRUE,45,60e36e6ecb9f00e7b4dab92e,4.666666666666667,1400,1510,0.5488359,265,0.5
77,7,7,7,7,7,1,7,7,FALSE,25,650ee2022c307a83ad5ffd5d,5,1400,1510,0.5488359,265,0.5
78,6,2,5,2,3,2,5,2,TRUE,73,628678ca852c5ee97a800552,2.3333333333333335,9140,7176,0.5856329,301,0.5454545454545454
78,7,4,7,5,6,6,5,6,FALSE,44,652d5fbe9b9bfde1040a8c4d,5.666666666666667,9140,7176,0.5856329,301,0.5454545454545454
78,7,4,7,7,6,5,7,5,FALSE,50,63b9d3abc3ddc61c8c08fd84,6,9140,7176,0.5856329,301,0.5454545454545454
78,6,7,7,7,7,7,6,7,TRUE,62,63d7a6a997f03198526a1941,7,9140,7176,0.5856329,301,0.5454545454545454
78,7,4,6,6,4,6,5,5,FALSE,51,60fdd59c0bf3c63079c26391,5.333333333333333,9140,7176,0.5856329,301,0.5454545454545454
78,5,5,5,5,4,5,5,2,FALSE,70,62cc1f77c32651ff9d35a471,4.666666666666667,9140,7176,0.5856329,301,0.5454545454545454
78,7,1,7,4,4,7,7,1,TRUE,94,5ccb779b2c4e1f00159333ea,5,9140,7176,0.5856329,301,0.5454545454545454
78,7,1,7,6,1,6,7,1,TRUE,82,623a732198d2a11b21faccc9,4.333333333333333,9140,7176,0.5856329,301,0.5454545454545454
78,6,6,5,5,5,7,5,6,FALSE,59,63d7fb6ee49281f6c41d6630,5.666666666666667,9140,7176,0.5856329,301,0.5454545454545454
78,7,1,7,6,3,6,7,5,TRUE,61,6400d8fbeba2f9f8eb604b9a,5,9140,7176,0.5856329,301,0.5454545454545454
78,5,2,4,4,4,4,5,3,TRUE,47,615ddab1e4f013092538b6c5,4,9140,7176,0.5856329,301,0.5454545454545454
79,6,5,6,6,6,5,6,4,FALSE,30,6029b0e17f3b5d944ab183f1,5.666666666666667,656,574,0.5010487,590,0.2727272727272727
79,6,6,7,6,5,4,5,5,FALSE,21,62b5dbad8247bb91a8ba272a,5,656,574,0.5010487,590,0.2727272727272727
79,7,4,1,1,1,1,1,1,FALSE,69,5c4623f40df98d0001edaec8,1,656,574,0.5010487,590,0.2727272727272727
79,6,1,5,5,2,1,5,1,TRUE,85,5b745d7bea73590001e99b25,2.6666666666666665,656,574,0.5010487,590,0.2727272727272727
79,5,3,3,4,2,2,3,3,FALSE,17,5fc2c97b862e3e4297a36895,2.6666666666666665,656,574,0.5010487,590,0.2727272727272727
79,5,1,3,2,2,1,3,1,TRUE,36,633edc50cfae73d4a72ca889,1.6666666666666667,656,574,0.5010487,590,0.2727272727272727
79,6,1,1,6,5,1,7,1,FALSE,10,5c1976c90d57c30001b4162c,4,656,574,0.5010487,590,0.2727272727272727
79,5,3,4,5,4,4,4,3,FALSE,21,5d88db42c1d06e001a1fdcab,4.333333333333333,656,574,0.5010487,590,0.2727272727272727
79,7,5,4,6,6,6,3,6,FALSE,52,55a9f6a1fdf99b2d81b5295f,6,656,574,0.5010487,590,0.2727272727272727
79,7,3,2,3,5,3,6,2,TRUE,80,63868eb7abcf3f247da6f52b,3.6666666666666665,656,574,0.5010487,590,0.2727272727272727
79,6,4,5,6,6,7,5,5,FALSE,43,55b2d3f2fdf99b525bc839aa,6.333333333333333,656,574,0.5010487,590,0.2727272727272727
8,3,5,5,3,5,3,3,2,FALSE,10,63e51c6b462cfa8a42eba8b2,3.6666666666666665,1277,886,0.36918265,195,0
8,5,1,4,1,2,2,3,1,FALSE,43,65006bec31c35a02228b9998,1.6666666666666667,1277,886,0.36918265,195,0
8,4,4,4,1,7,1,1,1,FALSE,7,64345edc0fd9813bdd9ef181,3,1277,886,0.36918265,195,0
8,6,5,5,5,4,4,5,5,FALSE,19,62b5dbad8247bb91a8ba272a,4.333333333333333,1277,886,0.36918265,195,0
8,3,1,2,2,2,2,3,1,FALSE,8,5acbd1ecf69e940001d9cd4d,2,1277,886,0.36918265,195,0
8,5,5,3,6,6,3,6,6,FALSE,20,5f5452df72345118f58d187b,5,1277,886,0.36918265,195,0
8,4,3,4,3,1,1,3,2,FALSE,11,5ed559e5afbd830e2117ed55,1.6666666666666667,1277,886,0.36918265,195,0
8,1,1,1,1,1,1,1,1,FALSE,18,5d32254ab202db00014d5d31,1,1277,886,0.36918265,195,0
8,1,1,1,1,1,1,1,1,FALSE,2,623a732198d2a11b21faccc9,1,1277,886,0.36918265,195,0
8,5,2,5,6,5,4,5,4,FALSE,23,615ddab1e4f013092538b6c5,5,1277,886,0.36918265,195,0
8,2,5,3,1,2,1,1,1,FALSE,0,63052f20afc39e87110eb83e,1.3333333333333333,1277,886,0.36918265,195,0
80,6,3,5,4,4,4,4,2,TRUE,56,615ddab1e4f013092538b6c5,4,680,1067,0.7449647,152,0.45454545454545453
80,7,7,7,7,7,7,7,7,FALSE,78,62d76c12d098bf4decd10802,7,680,1067,0.7449647,152,0.45454545454545453
80,4,1,5,1,1,1,4,1,FALSE,50,5f2a12f5837dd81e5881b7cc,1,680,1067,0.7449647,152,0.45454545454545453
80,5,3,6,2,2,2,4,5,FALSE,13,5e06ecd524f9390991997bb7,2,680,1067,0.7449647,152,0.45454545454545453
80,5,2,3,1,1,1,3,2,TRUE,82,62b5dbad8247bb91a8ba272a,1,680,1067,0.7449647,152,0.45454545454545453
80,4,3,4,3,3,3,4,2,TRUE,55,614f9a284f135b4da3329968,3,680,1067,0.7449647,152,0.45454545454545453
80,5,2,5,5,5,3,3,5,FALSE,48,5934a676e7866d0001618b81,4.333333333333333,680,1067,0.7449647,152,0.45454545454545453
80,5,3,5,1,5,6,7,1,FALSE,15,628bb31571a8935ee2dbd6f9,4,680,1067,0.7449647,152,0.45454545454545453
80,5,3,4,5,3,1,3,2,FALSE,7,55a29659fdf99b5ff49937d3,3,680,1067,0.7449647,152,0.45454545454545453
80,6,3,5,3,3,2,5,1,TRUE,70,628678ca852c5ee97a800552,2.6666666666666665,680,1067,0.7449647,152,0.45454545454545453
80,7,2,7,5,3,6,7,4,TRUE,54,62b601e089d3d1134aed066b,4.666666666666667,680,1067,0.7449647,152,0.45454545454545453
81,7,3,6,4,6,5,6,4,TRUE,34,610247cdbc9b348fd6601cb3,5,597,364,0.60918957,856,0.09090909090909091
81,5,2,6,4,4,5,6,4,FALSE,50,5e307edef5abed05e1736185,4.333333333333333,597,364,0.60918957,856,0.09090909090909091
81,5,4,6,5,5,5,5,4,FALSE,19,615ddab1e4f013092538b6c5,5,597,364,0.60918957,856,0.09090909090909091
81,7,6,6,6,4,6,6,7,FALSE,62,652ebe78088d0d6d13575da3,5.333333333333333,597,364,0.60918957,856,0.09090909090909091
81,4,4,5,6,6,5,3,5,FALSE,34,63474e67a5fd298c6103c409,5.666666666666667,597,364,0.60918957,856,0.09090909090909091
81,4,3,4,5,4,3,3,3,FALSE,73,65181c2f753b188afdddd2c4,4,597,364,0.60918957,856,0.09090909090909091
81,6,5,6,5,5,4,6,5,FALSE,40,631b4849c2daec6a4966605c,4.666666666666667,597,364,0.60918957,856,0.09090909090909091
81,6,4,5,5,5,4,5,4,FALSE,20,5e6e5a9ff830814045057066,4.666666666666667,597,364,0.60918957,856,0.09090909090909091
81,5,5,6,6,6,5,6,5,FALSE,56,646ff97937530e7cfc34ae2e,5.666666666666667,597,364,0.60918957,856,0.09090909090909091
81,7,7,4,7,7,5,6,6,FALSE,19,628bb31571a8935ee2dbd6f9,6.333333333333333,597,364,0.60918957,856,0.09090909090909091
81,5,5,6,6,5,5,5,7,FALSE,7,63ebd1cd6715f8cbe3405c82,5.333333333333333,597,364,0.60918957,856,0.09090909090909091
82,3,1,1,2,1,1,1,1,TRUE,29,643ebf44db98b64228ffb5a1,1.3333333333333333,519,796,0.62729096,677,0.3
82,7,2,5,5,3,4,6,4,TRUE,65,62e9af0ad2d5938d280419ad,4,519,796,0.62729096,677,0.3
82,7,4,1,1,3,1,1,1,FALSE,2,55acf681fdf99b3d5b2ab68c,1.6666666666666667,519,796,0.62729096,677,0.3
82,6,7,7,5,7,6,7,7,TRUE,61,631f991a0a5b1611251a3ebe,6,519,796,0.62729096,677,0.3
82,6,3,6,4,4,5,5,5,FALSE,30,631b4849c2daec6a4966605c,4.333333333333333,519,796,0.62729096,677,0.3
82,6,1,4,6,5,4,5,2,FALSE,2,5c1976c90d57c30001b4162c,5,519,796,0.62729096,677,0.3
82,7,1,6,4,3,4,6,3,FALSE,52,65006bec31c35a02228b9998,3.6666666666666665,519,796,0.62729096,677,0.3
82,7,6,6,7,7,6,7,6,FALSE,10,6444b1e677ebe8b4e2c23abd,6.666666666666667,519,796,0.62729096,677,0.3
82,2,2,3,2,3,3,2,2,FALSE,17,6294caceabe2535ecd0eaba7,2.6666666666666665,519,796,0.62729096,677,0.3
82,5,2,4,5,4,2,6,1,FALSE,4,629e241d171ec6698e05f149,3.6666666666666665,519,796,0.62729096,677,0.3
